Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
test/autenticacion2/authentication-ui/assets/svg/countries/mx.svg-988;150;1168;0;5094;1352.92;0.00%;1.84234;288.01;1.18;160078
test/autenticacion2/authentication-ui/assets/svg/countries/na.svg-995;150;154;0;1378;274.57;0.00%;1.83211;1.77;1.18;987.9
test/autenticacion2/authentication-ui/assets/svg/countries/mm.svg-994;150;228;0;3242;476.41;0.00%;1.83184;1.65;1.18;925
test/autenticacion2/authentication-ui/assets/svg/countries/me.svg-992;150;569;0;5349;822.03;0.00%;1.82697;106.94;1.17;59937
test/autenticacion2/authentication-ui/assets/svg/countries/nr.svg-996;150;188;0;3031;356.19;0.00%;1.82704;1.46;1.17;816
test/autenticacion2/authentication-ui/assets/svg/countries/np.svg-997;150;179;0;1304;278.2;0.00%;1.82032;3.34;1.17;1881
test/autenticacion2/authentication-ui/assets/svg/countries/ng.svg-1,000;150;274;0;3049;529.27;0.00%;1.80758;0.83;1.16;467.9
test/autenticacion2/authentication-ui/assets/svg/countries/ne.svg-999;150;228;0;3334;436.64;0.00%;1.80832;1.05;1.16;595.9
test/autenticacion2/authentication-ui/assets/svg/countries/no.svg-1,002;150;220;0;2948;383.61;0.00%;1.80113;0.97;1.16;554
test/autenticacion2/authentication-ui/assets/svg/countries/nu.svg-1,001;150;280;0;3852;560.78;0.00%;1.80115;2.31;1.16;1310.9
test/autenticacion2/authentication-ui/assets/svg/countries/ni.svg-998;150;498;0;6278;770.14;0.00%;1.79501;71.24;1.15;40638.9
test/autenticacion2/authentication-ui/assets/svg/countries/nc.svg-1,003;150;223;0;1683;332.04;0.00%;1.78889;0.85;1.15;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/nz.svg-1,004;150;266;0;3340;475.26;0.00%;1.78274;3.62;1.14;2079
test/autenticacion2/authentication-ui/assets/svg/countries/om.svg-1,005;149;428;0;5002;654.29;0.00%;1.77781;29.15;1.14;16790.9
test/autenticacion2/authentication-ui/assets/svg/countries/nl.svg-1,007;149;231;0;3043;420.58;0.00%;1.77212;0.84;1.14;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/pk.svg-1,006;148;271;0;2218;408.64;0.00%;1.93748;1.26;1.24;666
test/autenticacion2/authentication-ui/assets/svg/countries/pw.svg-1,008;148;273;0;3045;488.31;0.00%;1.93697;0.86;1.24;455
test/autenticacion2/authentication-ui/assets/svg/countries/ps.svg-1,009;148;302;0;3045;533.76;0.00%;1.92533;0.96;1.24;512.9
test/autenticacion2/authentication-ui/assets/svg/countries/pa.svg-1,010;148;381;0;8696;937.45;0.00%;1.92829;1.64;1.24;873
test/autenticacion2/authentication-ui/assets/svg/countries/pg.svg-1,011;148;306;0;6892;756.92;0.00%;1.91643;9.25;1.23;4941.9
test/autenticacion2/authentication-ui/assets/svg/countries/pf.svg-1,014;148;291;0;3775;492.73;0.00%;1.91625;11.35;1.23;6064
test/autenticacion2/authentication-ui/assets/svg/countries/pn.svg-1,012;148;368;0;3907;543.97;0.00%;1.90425;27.89;1.22;14997
test/autenticacion2/authentication-ui/assets/svg/countries/py.svg-1,013;148;481;0;6535;796.97;0.00%;1.90376;42.43;1.22;22821
test/autenticacion2/authentication-ui/assets/svg/countries/pl.svg-1,015;148;280;0;3334;474.59;0.00%;1.89031;0.84;1.21;453
test/autenticacion2/authentication-ui/assets/svg/countries/pr.svg-1,017;148;308;0;3813;539.58;0.00%;1.87917;1.1;1.21;597
test/autenticacion2/authentication-ui/assets/svg/countries/pt.svg-1,016;148;314;0;3217;512.1;0.00%;1.87905;21.84;1.21;11903
test/autenticacion2/authentication-ui/assets/svg/countries/qa.svg-1,018;148;289;0;2288;461.57;0.00%;1.86803;1.23;1.2;671.9
test/autenticacion2/authentication-ui/assets/svg/countries/gb.svg-1,019;148;306;0;6365;627.93;0.00%;1.86774;1.57;1.2;862
test/autenticacion2/authentication-ui/assets/svg/countries/sy.svg-1,020;148;282;0;2280;414.63;0.00%;1.85678;1.17;1.19;646
test/autenticacion2/authentication-ui/assets/svg/countries/cf.svg-1,021;148;270;0;3334;441.47;0.00%;1.85638;1.15;1.19;636.9
