Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
test/autenticacion2/authentication-ui/assets/svg/countries/ee.svg-907,150,111,0,3044,338.88,0.000%,3.85248,1.80,2.47,477.9
test/autenticacion2/authentication-ui/assets/svg/countries/es.svg-904,150,419,0,3237,714.73,0.000%,3.84537,189.59,2.47,50487.0
test/autenticacion2/authentication-ui/assets/svg/countries/et.svg-908,150,84,0,1068,227.84,0.000%,3.84615,3.80,2.47,1012.0
test/autenticacion2/authentication-ui/assets/svg/countries/mk.svg-909,150,197,0,3110,550.68,0.000%,3.84566,2.53,2.47,675.0
test/autenticacion2/authentication-ui/assets/svg/countries/ru.svg-910,150,130,0,3032,363.87,0.000%,3.57007,1.69,2.29,485.8
test/autenticacion2/authentication-ui/assets/svg/countries/fi.svg-912,150,152,0,3110,452.11,0.000%,3.57024,1.90,2.29,543.9
test/autenticacion2/authentication-ui/assets/svg/countries/ph.svg-911,150,99,0,3040,324.01,0.000%,3.57373,4.49,2.29,1285.9
test/autenticacion2/authentication-ui/assets/svg/countries/fr.svg-914,150,118,0,1059,284.44,0.000%,3.58792,1.70,2.30,486.0
test/autenticacion2/authentication-ui/assets/svg/countries/fj.svg-913,150,428,0,3124,685.80,0.000%,3.58500,147.43,2.30,42110.0
test/autenticacion2/authentication-ui/assets/svg/countries/ge.svg-918,150,106,0,1062,262.62,0.000%,3.58149,3.76,2.30,1075.9
test/autenticacion2/authentication-ui/assets/svg/countries/gm.svg-916,150,113,0,3043,337.99,0.000%,3.58141,2.09,2.30,598.0
test/autenticacion2/authentication-ui/assets/svg/countries/ga.svg-915,150,165,0,3040,396.87,0.000%,3.57867,1.83,2.30,525.0
test/autenticacion2/authentication-ui/assets/svg/countries/gh.svg-917,150,139,0,1057,311.06,0.000%,3.57790,2.20,2.30,630.9
test/autenticacion2/authentication-ui/assets/svg/countries/gi.svg-919,150,187,0,3073,431.57,0.000%,3.57637,21.66,2.29,6203.0
test/autenticacion2/authentication-ui/assets/svg/countries/gd.svg-920,150,195,0,3034,422.07,0.000%,3.57543,4.52,2.29,1295.0
test/autenticacion2/authentication-ui/assets/svg/countries/gl.svg-923,150,98,0,1040,249.90,0.000%,3.57526,1.72,2.29,493.9
test/autenticacion2/authentication-ui/assets/svg/countries/gp.svg-924,150,175,0,3039,404.48,0.000%,3.57304,1.70,2.29,486.0
test/autenticacion2/authentication-ui/assets/svg/countries/gr.svg-921,150,213,0,3049,556.43,0.000%,3.57058,1.80,2.29,517.0
test/autenticacion2/authentication-ui/assets/svg/countries/gu.svg-922,150,335,0,4190,663.81,0.000%,3.56964,55.18,2.29,15830.0
