Etiqueta,# Muestras,% Error,Apdex Value,Apdex Target (s),Apdex Rating,Small Group,Failed
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-114,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-122,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-127,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-130,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-137,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-161,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-164,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-175,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-181,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR-185,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-159,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-173,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-180,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-184,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-120,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-135,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/start/MR?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR-113,1,0.0,1.0,2.0,Excellent,true,false
test/submit/firefox-desktop/baseline/1/8f999b61-bc74-40c9-b9cf-7c1cfb500fc2-188,1,0.0,1.0,2.0,Excellent,true,false
test/submit/firefox-desktop/events/1/8255d5cb-5022-41ea-a082-a69920f012c2-190,1,0.0,1.0,2.0,Excellent,true,false
test/submit/firefox-desktop/usage-reporting/1/c04c6a2c-2116-4821-9b3e-e43b2d3c40c0-189,1,0.0,1.0,2.0,Excellent,true,false
